first_layer_nodes (second_layer_nodes third_layer_nodes ...)
2 5 20 3

first_layer_weights:

starting_node ending_node weight_value
0 0 -3.6372242979480225
0 1 3.6132241138650985
0 2 0.7748878662179565
0 3 -0.46660552424743373
0 4 4.003624576324763
1 0 0.2953309763230209
1 1 -1.259998709162142
1 2 -4.056703584382258
1 3 2.2907880242971403
1 4 3.914984311077525

second_layer_weights:

starting_node ending_node weight_value
0 0 2.860969589782394
0 1 0.46525590739490463
0 2 -0.3788717682847394
0 3 1.4420976730418298
0 4 0.8835575017464103
0 5 0.9246630430156938
0 6 -1.3138887646018553
0 7 3.4103402569666796
0 8 0.5367452752828668
0 9 2.358478097359594
0 10 -0.7724663707127576
0 11 -0.15578445509416614
0 12 -0.9702267249803412
0 13 -0.13967001616809
0 14 -1.8650710791058218
0 15 0.4851437947072304
0 16 0.8273054165825056
0 17 -4.858149035739717
0 18 -0.2610583374104422
0 19 2.4959321946647046
1 0 -1.592820617771851
1 1 -0.3801121056325166
1 2 -0.012054642023567121
1 3 0.6172324975845992
1 4 0.10518149626066625
1 5 0.12639735246748224
1 6 0.6604719030227901
1 7 -1.5634740151461914
1 8 -0.796831546858929
1 9 -0.5542779153409345
1 10 0.587162899185197
1 11 0.7407797663850366
1 12 2.190600742022955
1 13 -1.0871491572188063
1 14 -0.332182923003565
1 15 0.3242292750209323
1 16 0.7448666054500208
1 17 0.804687445775681
1 18 -2.6685647880220538
1 19 -0.6624322213551811
2 0 2.069975365505854
2 1 -0.35848237593932536
2 2 -0.35960942566137566
2 3 0.7699312430413384
2 4 1.8201687684926915
2 5 -0.7714090497814842
2 6 -0.3910211852676255
2 7 4.2562278653599375
2 8 2.216690133412269
2 9 1.5525861086790695
2 10 -0.06630156683529184
2 11 -1.9809389643082325
2 12 -2.560628480813049
2 13 0.01862107461999997
2 14 -2.4948564653840632
2 15 -0.3230134329925323
2 16 0.2514664011779376
2 17 -3.3497182152413854
2 18 1.7450766592642557
2 19 1.0976175285022702
3 0 0.44733597605905734
3 1 -1.4187178367173539
3 2 -1.3487139828958636
3 3 -0.5238181375540825
3 4 -0.18621093277973794
3 5 0.7057372717176595
3 6 0.39741092721280225
3 7 0.2861341380425347
3 8 -0.1444721550267041
3 9 -1.1422570330539974
3 10 -1.100843805831005
3 11 0.09594881532679864
3 12 1.618934402285847
3 13 -1.1541930601737822
3 14 0.6737685717894304
3 15 0.8171430955237244
3 16 -1.3767449748866938
3 17 1.9131765643067136
3 18 -1.6623653263745812
3 19 -1.3972488425421914
4 0 -0.0711982710519997
4 1 2.023880067826888
4 2 -1.2745691484608608
4 3 -1.6733449733517995
4 4 -2.258096514054002
4 5 0.8712807610468213
4 6 0.3285298145877404
4 7 -4.020138007274944
4 8 0.06954995321367259
4 9 -2.0235352222624594
4 10 1.168739977210883
4 11 1.3689918779428327
4 12 -2.278728518189576
4 13 1.3773755996817125
4 14 2.45936888444208
4 15 -1.4585361979716334
4 16 0.478997151563985
4 17 -0.7398535964664313
4 18 3.029261670952184
4 19 -0.5351802656614172

third_layer_weights:

starting_node ending_node weight_value
0 0 -1.7122255396122792
0 1 -2.7444219945865234
0 2 1.827243769241466
1 0 0.02367132832623054
1 1 -0.8720186267639642
1 2 2.476791118456169
2 0 -1.1820010297489216
2 1 -0.5941082576514941
2 2 -1.5674811030195235
3 0 0.01729225969836307
3 1 -2.2707898001179405
3 2 -1.5516300538844312
4 0 -1.5573714400893273
4 1 -1.5195936686216434
4 2 -1.3918659112770084
5 0 1.1490816344183068
5 1 -4.928609466741405E-4
5 2 -0.5401360180106513
6 0 1.5760014559900246
6 1 0.8163388100597897
6 2 -0.5534589097597269
7 0 -3.204015044132587
7 1 -2.9979205782309615
7 2 -5.306932309203654
8 0 -0.8868640180400101
8 1 -2.0582093387671487
8 2 1.2285811670378457
9 0 -1.0389697066860006
9 1 -1.019754478538805
9 2 -2.63428917072474
10 0 0.669991663691346
10 1 0.7726164755507592
10 2 0.2854549050877597
11 0 1.9221447365839266
11 1 0.6940958546671431
11 2 0.17090754449023013
12 0 0.4507156774530347
12 1 2.2635376031756493
12 2 -3.555159201106623
13 0 0.5850474289516054
13 1 -1.282654716371391
13 2 1.9036963749303741
14 0 3.4266985108501857
14 1 1.813257805344035
14 2 0.4692854233802195
15 0 -0.6577597380765515
15 1 -0.06584189982132602
15 2 -1.5600665982491473
16 0 -0.8636115072504786
16 1 -0.059602533084008105
16 2 0.21223244156074705
17 0 2.9025228501630083
17 1 3.4310974378738965
17 2 -4.434471894484141
18 0 0.9214211224938076
18 1 -2.129048264850323
18 2 3.7144299998586194
19 0 -2.093636919613551
19 1 -2.1160065543753133
19 2 -0.34545464533467163
